15:55:51:608 (7116) > Player object AddRef laracroft: 1 => 2
15:55:51:615 (7116) > Player object AddRef laracroft: 2 => 3
15:55:51:619 (7116) > Player object AddRef laracroft: 3 => 4
15:56:21:302 (7116) > Player object RemRef laracroft: 4 => 3
15:56:21:304 (7116) > Player object RemRef laracroft: 3 => 2
15:56:21:305 (7116) > Player object RemRef laracroft: 2 => 1
15:56:24:944 (7116) > Player object AddRef laracroft: 1 => 2
15:56:24:948 (7116) > Player object AddRef laracroft: 2 => 3
15:56:24:952 (7116) > Player object AddRef laracroft: 3 => 4
15:59:21:223 (7116) > Player object RemRef laracroft: 4 => 3
15:59:21:228 (7116) > Player object RemRef laracroft: 3 => 2
15:59:21:229 (7116) > Player object RemRef laracroft: 2 => 1
15:59:45:610 (7116) > Exiting the game.
